--------- beginning of system
11-21 15:00:21.043 D/commandrouter( 1006): SocServiceHandle::onServiceMessage, SoC Service = mcu_healthcheck_934, appType = 1, type = SVC_REQ, clientId = 0, token = 2830, payloadLen = 20, result = 0, payload.size() = 20
11-21 15:00:21.047 D/commandrouter( 1006): mcu_healthcheck_934 (1, merlot:mcu_health:control): <ServiceResponse> FORWARDED (remote -> local) CR token ID = 2830, service client ID = 5, token ID = 10826, result = 0
11-21 15:00:21.628 I/chatty  ( 1186): uid=1000(system) android.ui expire 11 lines
11-21 15:00:23.660 I/chatty  ( 1006): uid=1000(system) /vendor/bin/commandrouter expire 10 lines
11-21 15:00:23.661 I/chatty  ( 1006): uid=1000(system) HwBinder:1006_2 expire 10 lines
11-21 15:00:29.160 I/chatty  ( 1186): uid=1000(system) Binder:1186_4 expire 5 lines
11-21 15:00:29.295 I/chatty  ( 1186): uid=1000(system) Binder:1186_9 expire 12 lines
11-21 15:00:30.289 I/chatty  ( 1006): uid=1000(system) HwBinder:1006_F expire 10 lines
11-21 15:00:30.294 D/mculinkhealth( 1029): isMcuReachable 1 (4 ms)
11-21 15:00:33.574 I/chatty  ( 1186): uid=1000(system) LazyTaskWriterT expire 10 lines
11-21 15:00:37.154 I/chatty  ( 1186): uid=1000(system) Binder:1186_1E expire 10 lines
11-21 15:00:43.595 I/chatty  ( 1186): uid=1000(system) android.display expire 10 lines
11-21 15:00:44.564 I/chatty  ( 1186): uid=1000(system) WifiP2pService expire 10 lines
11-21 15:00:44.566 I/chatty  ( 1186): uid=1000(system) ActivityManager expire 10 lines
11-21 15:00:46.524 I/chatty  ( 1186): uid=1000(system) WifiHandlerThre expire 10 lines
11-21 15:00:46.726 W/wificond(  911): Scan is not started. Ignore abort request
11-21 15:00:47.449 I/chatty  ( 1186): uid=1000(system) ConnectivitySer expire 34 lines
11-21 15:00:49.480 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'INTERFACE' not found
11-21 15:00:49.480 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'STATE' not found
11-21 15:00:49.480 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'TIME_NS' not found
11-21 15:00:49.480 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'UID' not found
11-21 15:00:49.675 I/chatty  ( 1186): uid=1000(system) android.fg expire 10 lines
11-21 15:00:49.869 I/chatty  ( 1186): uid=1000 system_server expire 3 lines
11-21 15:00:49.870 I/chatty  ( 1186): uid=1000(system) ActivityManager expire 7 lines
11-21 15:00:52.458 I/chatty  ( 1186): uid=1000(system) Binder:1186_7 expire 11 lines
11-21 15:00:52.668 I/chatty  ( 1186): uid=1000(system) Binder:1186_17 expire 7 lines
11-21 15:00:56.786 I/chatty  ( 1186): uid=1000(system) android.ui expire 19 lines
11-21 15:01:00.299 D/mculinkhealth( 1029): isMcuReachable 1 (4 ms)
11-21 15:01:00.544 I/chatty  ( 1186): uid=1000(system) DeviceStorageMo expire 10 lines
11-21 15:01:04.193 I/chatty  ( 1186): uid=1000(system) Binder:1186_B expire 6 lines
11-21 15:01:04.340 I/chatty  ( 1186): uid=1000(system) Binder:1186_E expire 4 lines
11-21 15:01:13.340 I/chatty  ( 1186): uid=1000 system_server expire 1 line
11-21 15:01:19.477 I/chatty  ( 1186): uid=1000(system) ConnectivitySer expire 16 lines
11-21 15:01:21.048 I/chatty  ( 1006): uid=1000(system) HwBinder:1006_1 expire 6 lines
11-21 15:01:30.303 I/chatty  ( 1006): uid=1000(system) /vendor/bin/commandrouter expire 11 lines
11-21 15:01:30.304 D/mculinkhealth( 1029): isMcuReachable 1 (4 ms)
11-21 15:01:43.607 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'INTERFACE' not found
11-21 15:01:43.607 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'STATE' not found
11-21 15:01:43.607 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'TIME_NS' not found
11-21 15:01:43.607 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'UID' not found
11-21 15:01:53.699 I/chatty  ( 1186): uid=1000(system) android.ui expire 13 lines
11-21 15:02:00.308 D/mculinkhealth( 1029): isMcuReachable 1 (3 ms)
11-21 15:02:01.705 W/wificond(  911): Scan is not started. Ignore abort request
11-21 15:02:02.618 I/chatty  ( 1186): uid=1000(system) ConnectivitySer expire 25 lines
11-21 15:02:03.341 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'INTERFACE' not found
11-21 15:02:03.341 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'STATE' not found
11-21 15:02:03.341 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'TIME_NS' not found
11-21 15:02:03.341 E/NetlinkEvent(  462): NetlinkEvent::FindParam(): Parameter 'UID' not found
11-21 15:02:03.608 I/chatty  ( 1006): uid=1000(system) HwBinder:1006_2 expire 10 lines
11-21 15:02:30.312 D/mculinkhealth( 1029): isMcuReachable 1 (3 ms)
11-21 15:02:32.977 I/chatty  ( 1186): uid=1000 system_server expire 2 lines
11-21 15:02:33.334 I/chatty  ( 1186): uid=1000(system) ConnectivitySer expire 31 lines
11-21 15:02:33.460 I/wificond(  911): Fail RSSI polling because wifi is not associated.
