--------- beginning of radio
11-20 16:28:10.100 E/PHONE   ( 1186): ServiceState.getRadioTechnology() DEPRECATED will be removed *******
11-20 16:28:10.113 D/TelephonyRegistry( 1186): notifyCellLocationForSubscriber: subId=1 cellLocation=CellIdentityLte:{ mCi=168987920 mPci=490 mTac=35650 mEarfcn=5110 mBands=[] mBandwidth=2147483647 mMcc=310 mMnc=410 mAlphaLong=AT&T mAlphaShort=AT&T mAdditionalPlmns={} mCsgInfo=null}
11-20 16:28:10.116 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 23 lines
11-20 16:30:59.331 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 7 lines
11-20 16:47:40.168 I/chatty  ( 1984): uid=1001(radio) Binder:1984_C expire 2 lines
11-20 16:47:40.191 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 24 lines
11-20 16:48:32.889 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 8 lines
11-20 16:51:27.592 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 39 lines
11-20 17:07:06.369 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 5 lines
11-20 17:16:52.247 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 2 lines
11-20 17:16:52.302 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 21 lines
11-20 17:18:32.893 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 10 lines
11-20 17:30:09.942 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 44 lines
11-20 17:40:11.648 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 4 lines
11-20 17:42:04.433 I/chatty  ( 1984): uid=1001(radio) Binder:1984_A expire 1 line
11-20 17:42:04.445 I/chatty  ( 1984): uid=1001(radio) Binder:1984_C expire 1 line
11-20 17:48:32.911 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 5 lines
11-20 17:48:32.915 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 6 lines
11-20 17:49:56.345 I/chatty  (  943): uid=1001(radio) NasModemEndPoin expire 10 lines
11-20 17:49:56.423 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 13 lines
11-20 17:49:56.487 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 9 lines
11-20 17:49:56.497 I/chatty  ( 1042): uid=1001(radio) DispatcherModul expire 3 lines
11-20 17:49:56.497 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 18 lines
11-20 17:49:56.558 I/chatty  ( 1984): uid=1001(radio) NetworkService expire 8 lines
11-20 17:49:56.558 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 28 lines
11-20 17:52:36.609 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 6 lines
11-20 18:07:40.528 I/chatty  ( 1984): uid=1001(radio) Binder:1984_A expire 1 line
11-20 18:07:40.528 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 23 lines
11-20 18:07:40.549 I/chatty  ( 1984): uid=1001(radio) Binder:1984_8 expire 1 line
11-20 18:09:40.255 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 22 lines
11-20 18:10:18.370 I/chatty  ( 1984): uid=1001(radio) HwBinder:1984_1 expire 14 lines
11-20 18:11:37.724 I/chatty  ( 1984): uid=1001(radio) com.android.phone expire 20 lines
